,Compound Score,Date,Negative Score,Neutral Score,Postive Score,Text,Tweets Ago,Username
115,0.1531,Sat Jun 09 03:50:00 +0000 2018,0.157,0.657,0.187,"The Warriors defeated LeBron James and the Cavaliers 108-85, completing a perfect 4-0 sweep https://t.co/Byn9sLKXGL https://t.co/V4KNZy4IAt",16,CBSNews
116,-0.6486,Sat Jun 09 03:48:03 +0000 2018,0.398,0.602,0.0,Woman missing after reported alligator attack in Florida https://t.co/GP0MEsucEt https://t.co/Bs3cVoxsSk,17,CBSNews
117,-0.8481,Sat Jun 09 03:33:03 +0000 2018,0.479,0.521,0.0,"Mother, her boyfriend sentenced in boy's ""beyond animalistic"" child abuse death https://t.co/p2zYrsgywF https://t.co/rKKuaUzghZ",18,CBSNews
118,-0.6124,Sat Jun 09 03:18:04 +0000 2018,0.308,0.692,0.0,"Asia Argento, girlfriend of Anthony Bourdain, ""beyond devastated"" https://t.co/e1GU9vOKPn https://t.co/RrDJwtAUm4",19,CBSNews
119,0.0,Sat Jun 09 03:03:08 +0000 2018,0.0,1.0,0.0,Fox News' Charles Krauthammer says he has weeks to live https://t.co/jIOUmPjHSU https://t.co/jIGRsinthx,20,CBSNews
120,0.0,Sat Jun 09 02:49:33 +0000 2018,0.0,1.0,0.0,Revelations of a Chinese cyberattack on a U.S. Navy contractor comes days before President Trump attends a summit w… https://t.co/nJQCbqjMaP,21,CBSNews
121,0.4019,Sat Jun 09 02:29:33 +0000 2018,0.0,0.863,0.137,"""The future is now"": Policymakers and businesses are ill-prepared to help workers navigate the transition and adapt… https://t.co/fzNPQYkxY7",22,CBSNews
122,0.8442,Sat Jun 09 02:09:30 +0000 2018,0.0,0.701,0.299,"Honda slates its Super Cub, the best selling motor vehicle of all time, for a rerelease in the U.S. next year… https://t.co/G24r4LbrgS",23,CBSNews
123,0.6846,Sat Jun 09 01:49:30 +0000 2018,0.08,0.651,0.269,"Whichever team wins the NBA championship, President Trump says he won't be inviting them to the White House:… https://t.co/1IAxkFizbd",24,CBSNews
124,0.1531,Sat Jun 09 01:29:31 +0000 2018,0.112,0.745,0.144,Special counsel brings new charges against President Trump's campaign chairman Paul Manafort and a longtime associa… https://t.co/Zdgogo6XPW,25,CBSNews
125,0.5859,Sat Jun 09 01:09:45 +0000 2018,0.0,0.758,0.242,"""We appreciate President Trump's sentiment, but a pardon is unnecessary,"" says the lawyer for late heavyweight boxi… https://t.co/kMg5ejkSoP",26,CBSNews
126,0.431,Sat Jun 09 00:49:35 +0000 2018,0.142,0.645,0.213,"The threats facing our oceans might seem like an overwhelming tsunami of problems, but there is still hope. Here ar… https://t.co/pQVVMv5yCH",27,CBSNews
127,-0.7319,Sat Jun 09 00:29:48 +0000 2018,0.305,0.618,0.077,"If you or someone you know is struggling or in crisis, you are not alone. https://t.co/OzkLuk4t2k https://t.co/6ewHgkL6mp",28,CBSNews
128,0.0,Sat Jun 09 00:09:39 +0000 2018,0.0,1.0,0.0,Israeli troops used tear gas and live ammunition on thousands of Palestinian protestors Friday. Officials say four… https://t.co/ri7jZtvdDF,29,CBSNews
129,0.0,Fri Jun 08 23:49:36 +0000 2018,0.0,1.0,0.0,"Culinary war-correspondent. Back-of-house immigration advocate. Humanitarian travel writer. A breaker of molds, Ant… https://t.co/bNcQCJSzwk",30,CBSNews
130,0.4404,Fri Jun 08 23:29:34 +0000 2018,0.0,0.868,0.132,A New York taxi medallion used to be a safe investment to park one's life savings in. Ride-share competition has le… https://t.co/Rjxqi3YkMi,31,CBSNews
131,-0.1154,Fri Jun 08 23:10:27 +0000 2018,0.065,0.935,0.0,"He risked his life, traveling thousands of miles to cross the U.S. border, but his journey is far from over. Stream… https://t.co/mu48Q6mYlv",32,CBSNews
132,-0.296,Fri Jun 08 22:59:52 +0000 2018,0.104,0.896,0.0,"RT @CBSEveningNews: A woman vanished today by a lake in south Florida
 
The chief suspect in her disappearance is a large alligator

@David…",33,CBSNews
133,0.2732,Fri Jun 08 22:55:43 +0000 2018,0.0,0.9,0.1,An Ohio teen with cerebral palsy walked in her high school graduation to her mother's surprise and a standing ovati… https://t.co/FlNZIJDPni,34,CBSNews
134,-0.6486,Fri Jun 08 22:44:22 +0000 2018,0.163,0.837,0.0,RT @CBSEveningNews: Celebrity chef Anthony Bourdain was found dead today in his hotel room in France -- an official said he hanged himself…,35,CBSNews
135,-0.4215,Fri Jun 08 22:33:36 +0000 2018,0.203,0.676,0.122,An American special forces soldier was killed and four other servicemen were wounded during a multiple-day operatio… https://t.co/hvcglo1SOg,36,CBSNews
